date,close
2007-01-05,0.4
2007-01-05,-9.3
2007-01-05,4.4
2007-01-05,2.7
2007-01-05,-0.3
2007-01-05,3.1
2007-01-05,0.2
2007-01-05,-2.7
2007-01-05,-10.9
2007-01-05,-1.4
2007-01-05,-2
2007-01-05,-8.3
2007-01-05,-1.8
2007-01-05,-6
2007-01-05,-0.1
2007-01-05,3.9
2007-01-05,-3
2007-01-05,-1.9
2007-01-05,-4.1
2007-01-05,-0.4
2007-01-05,0.1
2007-01-05,5.5
2007-01-05,5
2007-01-05,2.1
2007-01-05,1.8
2007-01-05,-1.6
2007-01-05,-2
2007-01-05,0
2007-01-05,-1.2
2007-01-05,1.1
2007-01-05,-0.6
2007-01-05,-3.1
2007-01-05,-0.6
2007-01-05,4.2
2007-01-05,-1.5
2007-01-05,-1.3
2007-01-05,2.1
2007-01-05,-6.1
2007-01-05,-4.1
2007-01-05,-0.4
2007-01-05,6.6
2007-01-05,-3.6
2007-01-05,4.8
2007-01-05,4.9
2007-01-05,0.5
2007-01-05,5.4
2007-01-05,1.8
2007-01-05,5.3
2007-01-05,-2.2
2007-01-05,-2.4
2007-01-05,-2.8
2007-01-05,-2.1
2007-01-05,1
2007-01-05,-6
2007-01-05,8
2007-01-05,0.5
2007-01-05,3.7
2007-01-05,-7.9
2007-01-05,0.5
2007-01-05,-1.3
2007-01-05,-0.9
2007-01-05,7.4
2007-01-05,3.8
2007-01-05,2.1
2007-01-05,1.7
2007-01-05,1.2
2007-01-05,-0.7
2007-01-05,0.6
2007-01-05,-1.6
2007-01-05,-17.6
2007-01-05,0.1
2007-01-05,0.2
2007-01-05,0.7
2007-01-05,-1.8
2007-01-05,0.3
2007-01-05,3.1
2007-01-05,-2.8
2007-01-05,1
2007-01-05,3.8
2007-01-05,2.4
2007-01-05,-1.7
2007-01-05,-0.2
2007-01-05,1.1
2007-01-05,8.2
2007-01-05,-5.8
2007-01-05,2.5
2007-01-05,5.7
2007-01-05,-11
2007-01-05,-0.1
2007-01-05,2.1
2007-01-05,4.2
2007-01-05,1.8
2007-01-05,6.2
2007-01-05,3.3
2007-01-05,1.2
2007-01-05,3.3
2007-01-05,0.6
2007-01-05,-0.2
2007-01-05,3.1
2007-01-05,-2.6
2007-01-05,-2.8
2007-01-05,-4.5
2007-01-05,2.7
2007-01-05,1.6
2007-01-05,-1.5
2007-01-05,5
2007-01-05,5.7
2007-01-05,-4.9
2007-01-05,-2.2
2007-01-05,0.7
2007-01-05,-3.6
2007-01-05,-4.9
2007-01-05,-4.4
2007-01-05,-11.4
2007-01-05,4.4
2007-01-05,-1.3
2007-01-05,-0.7
2007-01-05,4.6
2007-01-05,-11.3
2007-01-05,0.5
2007-01-05,3.7
2007-01-05,3.3
2007-01-05,1.9
2007-01-05,-6.4
2007-01-05,-1
2007-01-05,-7.8
2007-01-05,0.2
2007-01-05,-2.2
2007-01-05,-15.5
2007-01-05,-11.3
2007-01-05,1.4
2007-01-05,-2
2007-01-05,-4.6
2007-01-05,-4.6
2007-01-05,2.2
2007-01-05,0.9
2007-01-05,-0.1
2007-01-05,5.3
2007-01-05,1.7
2007-01-05,2.7
2007-01-05,-2.7
2007-01-05,4.6
2007-01-05,-9.3
2007-01-05,-1.1
2007-01-05,1.3
2007-01-05,6.1
2007-01-05,0.3
2007-01-05,0
2007-01-05,1.2
2007-01-05,-4.9
2007-01-05,1
2007-01-05,-0.1
2007-01-05,-1.6
2007-01-05,2.8
2007-01-05,2.9
2007-01-05,-1.8
2007-01-05,-1.4
2007-01-05,-5
2007-01-05,-7
2007-01-05,-1.8
2007-01-05,3.4
2007-01-05,-0.3
2007-01-05,-3.3
2007-01-05,0.8
2007-01-05,7.2
2007-01-05,1.8
2007-01-05,1.3
2007-01-05,2
2007-01-05,-2.3
2007-01-05,4
2007-01-05,-2
2007-01-05,4.3
2007-01-05,1.4
2007-01-05,2.9
2007-01-05,-11.7
2007-01-05,0.6
2007-01-05,-1.4
2007-01-05,2.8
2007-01-05,-4.6
2007-01-05,1.8
2007-01-05,0.9
2007-01-05,4.6
2007-01-05,4.3
2007-01-05,3.9
2007-01-05,-1.1
2007-01-05,-0.9
2007-01-05,3.4
2007-01-05,0.4
2007-01-05,1.9
2007-01-05,3.6
2007-01-05,-26.7
2007-01-05,-17.5
2007-01-05,-1.8
2007-01-05,0.2
2007-01-05,-3.1
2007-01-05,-0.3
2007-01-05,-5
2007-01-05,-1.1
2007-01-08,-0.2
2007-01-08,-0.2
2007-01-08,2.7
2007-01-08,-4.4
2007-01-08,0.4
2007-01-08,1.6
2007-01-08,-2.9
2007-01-08,-3.7
2007-01-08,3.1
2007-01-08,3.2
2007-01-08,-17.3
2007-01-08,0.2
2007-01-08,-0.9
2007-01-08,-1.6
2007-01-08,-2.5
2007-01-08,-4.1
2007-01-08,5.4
2007-01-08,-3.4
2007-01-08,-2.5
2007-01-08,-0.1
2007-01-08,-0.9
2007-01-08,-3.3
2007-01-08,1.9
2007-01-08,-0.8
2007-01-08,0.7
2007-01-08,-20.2
2007-01-08,-0.7
2007-01-08,3
2007-01-08,2.5
2007-01-08,-3.4
2007-01-08,2.3
2007-01-08,3.3
2007-01-08,-9.6
2007-01-08,3.8
2007-01-08,0.6
2007-01-08,-1.9
2007-01-08,-1
2007-01-08,-1.5
2007-01-08,-0.9
2007-01-08,-3.4
2007-01-08,0.2
2007-01-08,0.7
2007-01-08,-3.4
2007-01-08,5.4
2007-01-08,3.3
2007-01-08,3
2007-01-08,0.8
2007-01-08,1.4
2007-01-08,0.9
2007-01-08,2.2
2007-01-08,-3.6
2007-01-08,1.8
2007-01-08,-6.7
2007-01-08,-1.4
2007-01-08,-1.5
2007-01-08,-9.7
2007-01-08,2.6
2007-01-08,2
2007-01-08,-0.2
2007-01-08,2.6
2007-01-08,-0.8
2007-01-08,-1.2
2007-01-08,1.1
2007-01-08,0
2007-01-08,4.8
2007-01-08,-1.4
2007-01-08,-0.1
2007-01-08,-2
2007-01-08,2.3
2007-01-08,0.6
2007-01-08,-4.1
2007-01-08,-2
2007-01-08,1.6
2007-01-08,4.6
2007-01-08,-2.9
2007-01-08,-13.4
2007-01-08,2.4
2007-01-08,3.3
2007-01-08,1.8
2007-01-08,-7.1
2007-01-08,-0.8
2007-01-08,1.1
2007-01-08,3
2007-01-08,-5.8
2007-01-08,-1.1
2007-01-08,-2.4
2007-01-08,5.8
2007-01-08,4.3
2007-01-08,-0.8
2007-01-08,-1.4
2007-01-08,-0.9
2007-01-08,-0.6
2007-01-08,-4
2007-01-08,-2.5
2007-01-08,-2.9
2007-01-08,1.8
2007-01-08,9
2007-01-08,3.2
2007-01-08,-0.7
2007-01-08,-0.9
2007-01-08,-0.8
2007-01-08,1.2
2007-01-08,2.9
